int_z1_b2,int_z1_b3,int_z6_b0,int_z6_b1,norm_z1_b0,norm_z1_b2,norm_z1_b3,norm_z6_b0,norm_z6_b1,max_z1_b2,max_z1_b3,max_z3_b4,max_z6_b0,max_z6_b1,y
6.832117479277946,7.824657821575509,3.186294858640511,4.866658056653876,3.803236897930972,6.59720870758846,7.5068265400969425,3.790282267790936,5.155336209207338,5.909920265044537,7.141158229255572,8.68015247804414,2.4609342310580904,4.077216246542312,1
6.624481734104244,7.36783153119624,3.897493521958941,5.403765638126649,3.5318330359864896,6.423612485684316,7.059539446299867,3.951376197176169,5.410742718753666,5.540692883166068,6.547241362887147,8.148526431308717,2.7032654416875728,4.437704258106296,1
6.708565076028889,7.183401773419065,3.304135035480846,5.356118513309891,3.5093336892438574,6.451980819031821,6.904641515473529,3.822520513271252,5.376467462170229,5.677222325440432,6.39626109681984,7.765847971314829,2.162286798655113,4.387815909045267,1
6.748888368149031,7.131747842243136,3.3932627497203005,5.201181386821352,3.8996269026288153,6.55774683976127,6.826140911806959,3.888043241041808,5.393011525795718,5.705376052868505,6.413846305294122,7.695342010103619,2.4436123822594444,4.382441492303622,1
6.823003781031932,7.190898097729861,3.8621325155373594,5.22449377437151,3.997224350436148,6.579269867797695,6.886708602673338,4.207650268255363,5.5261699666759965,5.837023221409609,6.372899537767698,8.143468023039375,2.775292544998621,4.184394450614994,1
7.083817415202823,6.8555435755275855,4.154583209201481,6.069510005126786,4.127211674197832,6.786813964010083,6.576035670845315,4.249575634429002,5.911747777623486,6.26600321868,6.026342200000621,7.081837213271297,2.802818084491145,5.257571663062859,1
6.874051193194182,6.789288452309599,3.713302163717666,5.734967773999033,4.045188819666687,6.516860910291199,6.521333783158119,4.064521276206129,5.617054038813927,6.133856562115028,6.054389270397968,6.874748354957667,2.472391636984818,4.915066230686806,1
6.8448781143377255,6.931061502221378,4.122524210767262,5.763612271561155,4.066978195910509,6.5188028860889045,6.632209144624426,4.116515615854231,5.691254476530324,6.104105260395179,6.160146563173631,6.992921856416649,2.9517445782514944,4.95944211376922,1
6.685345548884998,7.005944693130392,4.382462108868939,6.011041941248183,4.111614123549767,6.3706042590207455,6.71101596428119,4.328581042297573,5.77528066874168,5.898371649137755,6.217393887358004,6.5869157542909935,3.032453862391291,5.190991623569326,1
6.91508226462667,7.171339582834913,4.088099939571057,6.053354265049794,4.064290898211215,6.560138469663743,6.876663136653516,4.16518189253724,5.79379243367713,6.181916793695352,6.440268694164358,6.855781050200354,2.8270029580030034,5.250643884412693,1
7.080826777116321,6.966727349707264,4.037578421071026,6.201867162339151,4.041565213408635,6.711790267449119,6.656325542608841,4.110355994386126,5.938667774816409,6.367932544154905,6.276655076775978,6.620449844577716,3.00419900352709,5.3585390033395965,1
6.935986511482162,7.002219215411541,4.066187958412525,6.012547199167587,4.065047670621922,6.570912728167777,6.716131800213662,4.102851228669419,5.82867648816513,6.15196725472194,6.29124786218749,6.819905482435219,2.616757140478136,5.162455554130228,1
