,int_z2_b3,int_z2_b4,int_z7_b1,int_z7_b2,max_z2_b3,max_z2_b4,max_z4_b5,max_z7_b1,max_z7_b2,norm_z2_b1,norm_z2_b3,norm_z2_b4,norm_z7_b1,norm_z7_b2
0,741.4914779736039,1675.131127577896,19.24299403869857,85.17059906340242,269.1253967285156,751.4725952148438,6319.62353515625,6.414770126342773,32.375038146972656,45.77866195685795,590.5424736892387,1236.084569833961,30.800262451171875,93.39263916015625
1,683.6504386374727,1611.131506346787,30.138667009627778,95.00728112945703,230.73947143554688,764.3458251953125,2985.17724609375,7.119714736938477,35.210994720458984,42.09180602542725,569.1013841144714,1194.3110713710362,28.430513381958008,105.56839752197266
2,771.4642744213343,1646.8620311425377,16.172063144789718,81.7792484973009,262.9449157714844,818.4703979492188,1176.540771484375,7.256239891052246,30.631305694580078,42.3448022246675,615.8225146182999,1212.918640464793,28.213586807250977,96.44146728515625
3,841.7708864537999,1876.8479690290987,22.03340637414051,93.17358567902313,312.41424560546875,946.71435546875,1097.4278564453125,7.502947807312012,35.57817459106445,43.045576054409814,726.8363483291521,1390.97801241842,27.13909912109375,98.87712097167969
4,1070.6251426387266,1858.6653939497965,19.721312661393313,61.75589635827053,453.7555236816406,913.5849609375,2325.572021484375,7.501255512237549,24.706193923950195,41.90754339518945,929.6499295401535,1403.8276058494425,28.40652084350586,89.78186798095703
5,704.4489146448517,1526.5690163339798,44.851798747704976,258.81641383556416,300.1899719238281,607.5398559570312,862.3060302734375,17.198577880859375,118.46856689453125,47.60428417353277,619.7907022706119,1215.5192304372713,93.22398376464844,352.9880065917969
6,1178.0024648647134,2037.301306823889,80.71727635581433,327.07420092762914,550.1341552734375,869.1654052734375,1490.9404296875,32.985721588134766,129.08840942382812,60.92527158626052,984.3856166881808,1613.7047406753616,142.32382202148438,517.50244140625
7,2372.7521538129076,2066.2016670427593,52.28726784306733,266.85750668086496,1159.162353515625,826.4230346679688,1494.113037109375,17.74577522277832,98.9397964477539,50.87660797095364,1881.0781506954095,1635.1378870028866,90.43463134765625,365.624755859375
8,2329.526159216805,2439.044463276242,66.34618531364927,442.8364405044703,1040.4404296875,1003.1129760742188,2095.466064453125,15.804815292358398,126.55509948730469,50.38975278795822,1724.654728080153,1901.8277183259704,83.36177062988281,390.57000732421875
9,1117.0708972703044,1455.2151056615014,47.309301964904684,323.45311023939087,512.7193603515625,566.2236938476562,1026.045654296875,22.900266647338867,117.20658111572266,55.23384906354746,952.0758318696105,1146.6549334158717,102.73194885253906,373.2813720703125
10,952.0857318411581,2423.3925397495427,34.552010675712765,221.3018545566204,375.92852783203125,1119.454833984375,1262.32958984375,14.528660774230957,83.4861068725586,55.616889012240385,858.0193534865733,1769.5054701715214,74.40228271484375,314.072509765625
