int_z1_b2,int_z1_b3,int_z6_b0,int_z6_b1,norm_z1_b0,norm_z1_b2,norm_z1_b3,norm_z6_b0,norm_z6_b1,max_z1_b2,max_z1_b3,max_z3_b4,max_z6_b0,max_z6_b1
927.1519604649704,2501.5299947839226,24.198601896952216,129.88611871549315,44.84611209628833,733.0461846343582,1820.427313403595,44.26889419555664,173.3540802001953,368.6767578125,1262.8902587890625,5884.94384765625,11.71575164794922,58.98105239868164
753.3136945705239,1584.1947787484771,49.27877800586673,222.2417243936555,34.186575439061215,616.2252028006892,1163.9089997192136,52.00688934326172,223.79774475097656,254.85452270507807,697.31787109375,3458.279296875,14.928400039672852,84.5805435180664
819.3940273464347,1317.3820798095935,27.22498275737356,211.90085778048768,33.4259882667114,633.9568036245912,996.8910792253052,45.71929931640625,216.25698852539065,292.1368408203125,599.5989990234375,2358.65771484375,8.69098949432373,80.46448516845703
853.1098910986912,1251.061715574314,29.76290292469396,181.48652106116057,49.3840206196624,704.6821427253759,921.6272999154252,48.81527328491211,219.8645172119141,300.4784545898437,610.236328125,2198.08544921875,11.51456069946289,80.03319549560547
918.7405649498104,1327.294710849722,47.566679972143895,185.7671066488741,54.44681482572894,720.0134322923626,979.173259309373,67.19845581054688,251.18003845214844,342.75750732421875,585.7537841796875,3440.830078125,16.043319702148438,65.65373229980469
1192.512154547032,949.1279119144504,63.72539885215518,432.4687221925123,62.004792112656695,886.0859580463059,717.6885286686237,70.07566833496094,369.3511352539063,526.369384765625,414.19720458984375,1190.153076171875,16.49105453491211,192.0146484375
966.857569205885,888.2812824139061,40.98893547078963,309.5029965546273,57.121970767408826,676.4516067342438,679.4840656175571,58.23702239990234,275.07781982421875,461.21142578125,425.9786682128906,967.5318603515624,11.85075569152832,136.32833862304688
939.0588162285272,1023.5799355236812,61.71482704835943,318.4967502174161,58.38028200436857,677.7665357497567,759.1574080467273,61.34511947631836,296.2650451660156,447.69189453125,473.4974670410156,1088.8984375,19.139314651489254,142.51426696777344
800.5872724237852,1103.1717216521502,80.03484552221683,407.9081152204986,61.045172539598994,584.4108577527347,821.4047335436613,75.83660125732422,322.23486328125,364.4435424804688,501.3948364257813,725.5396728515625,20.748083114624023,179.6466064453125
1007.3538936819724,1301.5870191169283,59.62649006898573,425.538006096244,58.22360741676985,706.3694985707135,969.38624745458,64.4043960571289,328.25555419921875,483.9186401367188,626.5751342773438,949.3533325195312,16.894750595092773,190.6890106201172
1188.9511098311436,1060.7456144706034,56.68889981281245,493.6699430145867,56.91535780475397,822.0409961292752,777.68809887637,60.96841812133789,379.4291076660156,582.8515625,532.0061645507812,750.2825317382812,20.170053482055664,212.4143829345703
1028.633510422039,1099.0695260468249,58.33416594010728,408.5225844926705,58.26768611318173,714.0212531176358,825.6176725586864,60.512577056884766,339.90850830078125,469.640380859375,539.8265380859375,915.8984375,13.69125270843506,174.5926513671875
1089.365673134957,1388.8117978864657,51.39473494611835,411.5774781098201,64.82556563790789,767.0104108604129,1009.063838420162,67.47887420654297,315.2709655761719,508.5298461914063,666.2161254882812,694.5159912109375,15.189334869384766,179.77545166015625
1335.1575086090402,1174.7497432821742,53.83699424892741,531.729781541595,66.42648107930887,877.7792006307931,874.4860336895766,56.1455307006836,366.9775085449219,671.1829833984375,566.2677001953125,774.720703125,18.679553985595703,238.417724609375
1180.6285938074193,802.3982571987435,63.83957225664441,519.7976904044626,50.524714959077336,814.3825743761869,639.3578993109855,65.6945571899414,384.0650939941406,531.5556640625,373.4549865722656,1179.9163818359375,26.901626586914062,225.2578582763672
1230.511484497382,1109.614385335085,57.380324488311686,600.0579809173747,56.01444585603663,837.6104093862612,817.4718915242731,58.62092971801758,418.20806884765625,561.6853637695312,511.0159606933594,888.4205932617188,22.98425674438477,250.77154541015625
